source,sentid,is_proper_name,uses_spanish_orthography,is_spa,spanish_word_has_nahuatl_morphemes,orig,inali_keep_spanish,ilv_keep_spanish,sep_keep_spanish,ack_keep_spanish,corrected_spanish_orthography
omitlan_1,1,0,1,1,0,de,de,de,de,de,
omitlan_1,1,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,1,0,1,1,0,porque,porque,porque,porque,porque,
omitlan_1,1,0,1,0,0,amo,amo,amo,amo,amo,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,nicpiyaya,nikpiyaya,nicpiyaya,nikpiyaya,nicpiyaya,
omitlan_1,1,0,1,0,0,cualli,kwali,cuali,kuali,cuali,
omitlan_1,1,0,1,0,0,ticactl,tikaktl,ticactl,tikaktl,ticactl,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,cualli,kwali,cuali,kuali,cuali,
omitlan_1,1,0,1,0,0,tihlmahtl,tihlmahtl,tihlmahtl,tijlmajtl,tihlmahtl,
omitlan_1,1,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,1,0,1,0,0,o,o,o,o,o,
omitlan_1,1,0,1,0,0,nipinahuiya,nipinawiya,nipinauiya,nipinauiya,nipinahuiya,
omitlan_1,1,0,1,0,0,.,.,.,.,.,
omitlan_1,2,0,1,0,0,Acmo,akmo,acmo,akmo,acmo,
omitlan_1,2,0,1,0,0,o,o,o,o,o,
omitlan_1,2,0,1,0,0,niniquiya,ninikiya,niniquiya,ninikiya,niniquiya,
omitlan_1,2,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,2,0,1,0,0,in,in,in,in,in,
omitlan_1,2,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,3,0,1,0,0,Zan,san,san,san,zan,
omitlan_1,3,0,1,0,0,quemazá,kemasá,quemasá,kemasá,quemazá,
omitlan_1,3,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,3,0,1,0,0,o,o,o,o,o,
omitlan_1,3,0,1,0,0,nichocaya,nichokaya,nichocaya,nichokaya,nichocaya,
omitlan_1,3,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,3,0,1,0,0,o,o,o,o,o,
omitlan_1,3,0,1,0,0,niquilhuaya,nikilwaya,niquiluaya,nikiluaya,niquilhuaya,
omitlan_1,3,0,1,0,0,nomama,nomama,nomama,nomama,nomama,
omitlan_1,3,0,1,0,0,“,“,“,“,“,
omitlan_1,3,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,3,0,1,0,0,acmo,akmo,acmo,akmo,acmo,
omitlan_1,3,0,1,0,0,niniqui,niniki,niniqui,niniki,niniqui,
omitlan_1,3,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,3,0,1,0,0,in,in,in,in,in,
omitlan_1,3,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,3,0,1,1,0,porque,porque,porque,porque,porque,
omitlan_1,3,0,1,1,1,nocompañeros,nocompañeros,nocompañeros,nocompañeros,nocompañeros,
omitlan_1,3,0,1,0,0,nechpinahuiyan,nechpinawiyan,nechpinauiyan,nechpinauiyan,nechpinahuiyan,
omitlan_1,3,0,1,1,0,que,que,que,que,que,
omitlan_1,3,0,1,0,0,noticacuan,notikakwan,noticacuan,notikakuan,noticacuan,
omitlan_1,3,0,1,0,0,nochten,nochten,nochten,nochten,nochten,
omitlan_1,3,0,1,0,0,tzahtzayactique,tsahtsayaktike,tzahtzayactique,tsajtsayaktike,tzahtzayactique,
omitlan_1,3,0,1,0,0,.,.,.,.,.,
omitlan_1,3,0,1,0,0,”,”,”,”,”,
omitlan_1,4,0,1,0,0,Huan,wan,uan,uan,huan,
omitlan_1,4,0,1,0,0,nomama,nomama,nomama,nomama,nomama,
omitlan_1,4,0,1,0,0,o,o,o,o,o,
omitlan_1,4,0,1,0,0,nechilhuaya,nechilwaya,nechiluaya,nechiluaya,nechilhuaya,
omitlan_1,4,0,1,0,0,",",",",",",",",",",
omitlan_1,4,0,1,0,0,“,“,“,“,“,
omitlan_1,4,0,1,0,0,Amo,amo,amo,amo,amo,
omitlan_1,4,0,1,0,0,quen,ken,quen,ken,quen,
omitlan_1,4,0,1,0,0,ximati,ximati,ximati,ximati,ximati,
omitlan_1,4,0,1,0,0,",",",",",",",",",",
omitlan_1,4,0,1,0,0,teh,teh,teh,tej,teh,
omitlan_1,4,0,1,0,0,xiyo,xiyo,xiyo,xiyo,xiyo,
omitlan_1,4,0,1,0,0,in,in,in,in,in,
omitlan_1,4,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,4,0,1,0,0,.,.,.,.,.,
omitlan_1,5,0,1,0,0,Teh,teh,teh,tej,teh,
omitlan_1,5,0,1,0,0,xiyo,xiyo,xiyo,xiyo,xiyo,
omitlan_1,5,0,1,0,0,",",",",",",",",",",
omitlan_1,5,0,1,0,0,ximonechtili,ximonechtili,ximonechtili,ximonechtili,ximonechtili,
omitlan_1,5,0,1,0,0,queni,keni,queni,keni,queni,
omitlan_1,5,0,1,0,0,titlacuiloz,titlakwilos,titlacuilos,titlakuilos,titlacuiloz,
omitlan_1,5,0,1,0,0,",",",",",",",",",",
omitlan_1,5,0,1,0,0,queni,keni,queni,keni,queni,
omitlan_1,5,0,1,1,1,titlaleeroz,titlaleeroz,titlaleeroz,titlaleeroz,titlaleeroz,
omitlan_1,5,0,1,0,0,.,.,.,.,.,
omitlan_1,6,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,6,0,1,0,0,niniqui,niniki,niniqui,niniki,niniqui,
omitlan_1,6,0,1,0,0,cachi,kachi,cachi,kachi,cachi,
omitlan_1,6,0,1,0,0,xitlaixmati,xitlaixmati,xitlaixmati,xitlaixmati,xitlaixmati,
omitlan_1,6,0,1,1,0,que,que,que,que,que,
omitlan_1,6,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,6,0,1,0,0,.,.,.,.,.,
omitlan_1,7,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,7,0,1,0,0,notahhuan,notahwan,notahuan,notajuan,notahhuan,
omitlan_1,7,0,1,0,0,amayic,amayik,amayic,amayik,amayic,
omitlan_1,7,0,1,0,0,o,o,o,o,o,
omitlan_1,7,0,1,1,1,nechmandarohque,nechmandarohke,nechmandarohque,nechmandarohque,nechmandarohque,
omitlan_1,7,0,1,0,0,in,in,in,in,in,
omitlan_1,7,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,7,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,7,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,7,0,1,0,0,axan,axan,axan,axan,axan,
omitlan_1,7,0,1,0,0,amo,amo,amo,amo,amo,
omitlan_1,7,0,1,0,0,nimati,nimati,nimati,nimati,nimati,
omitlan_1,7,0,1,0,0,queni,keni,queni,keni,queni,
omitlan_1,7,0,1,0,0,nimitzpalehuiz,nimitspalewis,nimitspaleuis,nimitspaleuis,nimitzpalehuiz,
omitlan_1,7,0,1,0,0,ica,ika,ica,ika,ica,
omitlan_1,7,0,1,1,1,motareas,motareas,motareas,motareas,motareas,
omitlan_1,7,0,1,0,0,.,.,.,.,.,
omitlan_1,8,0,1,1,0,Por,Por,Por,Por,Por,
omitlan_1,8,0,1,1,0,eso,eso,eso,eso,eso,
omitlan_1,8,0,1,1,0,mejor,mejor,mejor,mejor,mejor,
omitlan_1,8,0,1,0,0,teh,teh,teh,tej,teh,
omitlan_1,8,0,1,0,0,xiyo,xiyo,xiyo,xiyo,xiyo,
omitlan_1,8,0,1,0,0,in,in,in,in,in,
omitlan_1,8,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,8,0,1,1,0,para,para,para,para,para,
omitlan_1,8,0,1,0,0,xitlazalo,xitlasalo,xitlasalo,xitlasalo,xitlazalo,
omitlan_1,8,0,1,1,0,para,para,para,para,para,
omitlan_1,8,0,1,0,0,teh,teh,teh,tej,teh,
omitlan_1,8,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,8,0,1,1,0,para,para,para,para,para,
omitlan_1,8,0,1,0,0,mopilhuan,mopilwan,mopiluan,mopiluan,mopilhuan,
omitlan_1,8,0,1,1,0,cuando,cuando,cuando,cuando,cuando,
omitlan_1,8,0,1,0,0,tiquinpiyaz,tikinpiyas,tiquinpiyas,tikinpiyas,tiquinpiyaz,
omitlan_1,8,0,1,0,0,teh,teh,teh,tej,teh,
omitlan_1,8,0,1,0,0,tihuiliz,tiwilis,tiuilis,tiuilis,tihuiliz,
omitlan_1,8,0,1,0,0,tiquimpalehuiz,tikimpalewis,tiquimpaleuis,tikimpaleuis,tiquimpalehuiz,
omitlan_1,8,0,1,0,0,.,.,.,.,.,
omitlan_1,8,0,1,0,0,”,”,”,”,”,
omitlan_1,9,0,1,0,0,Huan,wan,uan,uan,huan,
omitlan_1,9,0,1,0,0,nochipa,nochipa,nochipa,nochipa,nochipa,
omitlan_1,9,0,1,0,0,ohcón,ohkón,ohcón,ojkón,ohcón,
omitlan_1,9,0,1,0,0,o,o,o,o,o,
omitlan_1,9,0,1,0,0,nechilhuaya,nechilwaya,nechiluaya,nechiluaya,nechilhuaya,
omitlan_1,9,0,1,0,0,nomama,nomama,nomama,nomama,nomama,
omitlan_1,9,0,1,0,0,",",",",",",",",",",
omitlan_1,9,0,1,1,0,entonces,entonces,entonces,entonces,entonces,
omitlan_1,9,0,1,0,0,nochipa,nochipa,nochipa,nochipa,nochipa,
omitlan_1,9,0,1,0,0,o,o,o,o,o,
omitlan_1,9,0,1,0,0,nictlacamat,niktlakamat,nictlacamat,niktlakamat,nictlacamat,
omitlan_1,9,0,1,1,0,mas,mas,mas,mas,mas,
omitlan_1,9,0,1,0,0,acmo,akmo,acmo,akmo,acmo,
omitlan_1,9,0,1,0,0,o,o,o,o,o,
omitlan_1,9,0,1,0,0,niniquiyaya,ninikiyaya,niniquiyaya,ninikiyaya,niniquiyaya,
omitlan_1,9,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,9,0,1,0,0,in,in,in,in,in,
omitlan_1,9,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,9,0,1,0,0,",",",",",",",",",",
omitlan_1,9,0,1,1,0,pero,pero,pero,pero,pero,
omitlan_1,9,0,1,1,0,pues,pues,pues,pues,pues,
omitlan_1,9,0,1,0,0,o,o,o,o,o,
omitlan_1,9,0,1,0,0,niya,niya,niya,niya,niya,
omitlan_1,9,0,1,0,0,in,in,in,in,in,
omitlan_1,9,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,9,0,1,0,0,.,.,.,.,.,
omitlan_1,10,0,1,0,0,O,o,o,o,o,
omitlan_1,10,0,1,0,0,nicquixte,nikkixte,nicquixte,nikkixte,nicquixte,
omitlan_1,10,0,1,1,1,noprimaria,noprimaria,noprimaria,noprimaria,noprimaria,
omitlan_1,10,0,1,0,0,",",",",",",",",",",
omitlan_1,10,0,1,1,1,nosecundaria,nosecundaria,nosecundaria,nosecundaria,nosecundaria,
omitlan_1,10,0,1,0,0,",",",",",",",",",",
omitlan_1,10,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,10,0,1,1,1,nobachiller,nobachiller,nobachiller,nobachiller,nobachiller,
omitlan_1,10,0,1,0,0,.,.,.,.,.,
omitlan_1,11,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,11,0,1,0,0,niquimpiya,nikimpiya,niquimpiya,nikimpiya,niquimpiya,
omitlan_1,11,0,1,0,0,yeyen,yeyen,yeyen,yeyen,yeyen,
omitlan_1,11,0,1,0,0,nocnihuan,nokniwan,nocniuan,nokniuan,nocnihuan,
omitlan_1,11,0,1,0,0,tlen,tlen,tlen,tlen,tlen,
omitlan_1,11,0,1,0,0,ye,ye,ye,ye,ye,
omitlan_1,11,0,1,0,0,cihuame,siwame,siuame,siuame,cihuame,
omitlan_1,11,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,11,0,1,0,0,tlacame,tlakame,tlacame,tlakame,tlacame,
omitlan_1,11,0,1,0,0,o,o,o,o,o,
omitlan_1,11,0,1,0,0,catcah,katkah,catcah,katkaj,catcah,
omitlan_1,11,0,1,0,0,nahuen,nawen,nauen,nauen,nahuen,
omitlan_1,11,0,1,1,0,pero,pero,pero,pero,pero,
omitlan_1,11,0,1,0,0,ce,se,se,se,ce,
omitlan_1,11,0,1,1,0,y,y,y,y,y,
omitlan_1,11,0,1,0,0,o,o,o,o,o,
omitlan_1,11,0,1,0,0,popoleuh,popolew,popoleu,popoleu,popoleuh,
omitlan_1,11,0,1,0,0,.,.,.,.,.,
omitlan_1,12,0,1,1,0,Pero,Pero,Pero,Pero,Pero,
omitlan_1,12,0,1,1,0,de,de,de,de,de,
omitlan_1,12,0,1,0,0,nochten,nochten,nochten,nochten,nochten,
omitlan_1,12,0,1,0,0,tlen,tlen,tlen,tlen,tlen,
omitlan_1,12,0,1,0,0,tiochoque,tiochoke,tiochoque,tiochoke,tiochoque,
omitlan_1,12,0,1,0,0,zan,san,san,san,zan,
omitlan_1,12,0,1,0,0,ye,ye,ye,ye,ye,
omitlan_1,12,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,12,0,1,0,0,o,o,o,o,o,
omitlan_1,12,0,1,1,1,niquestudiaro,nikestudiaro,niquestudiaro,niquestudiaro,niquestudiaro,
omitlan_1,12,0,1,1,0,hasta,hasta,hasta,hasta,hasta,
omitlan_1,12,0,1,1,0,cuando,cuando,cuando,cuando,cuando,
omitlan_1,12,0,1,0,0,o,o,o,o,o,
omitlan_1,12,0,1,0,0,nipiyaya,nipiyaya,nipiyaya,nipiyaya,nipiyaya,
omitlan_1,12,0,1,1,0,dieciocho,dieciocho,dieciocho,dieciocho,dieciocho,
omitlan_1,12,0,1,1,0,años,años,años,años,años,
omitlan_1,12,0,1,0,0,.,.,.,.,.,
omitlan_1,13,0,1,1,0,Pero,Pero,Pero,Pero,Pero,
omitlan_1,13,0,1,1,0,como,como,como,como,como,
omitlan_1,13,0,1,1,0,a,a,a,a,a,
omitlan_1,13,0,1,1,0,veces,veces,veces,veces,veces,
omitlan_1,13,1,1,0,0,México,méxiko,México,México,México,
omitlan_1,13,0,1,1,0,es,es,es,es,es,
omitlan_1,13,0,1,0,0,cimi,simi,simi,simi,cimi,
omitlan_1,13,0,1,1,0,difícil,difícil,difícil,difícil,difícil,
omitlan_1,13,0,1,1,0,como,como,como,como,como,
omitlan_1,13,0,1,1,0,para,para,para,para,para,
omitlan_1,13,0,1,0,0,ompa,ompa,ompa,ompa,ompa,
omitlan_1,13,0,1,0,0,cechanchihuaz,sechanchiwas,sechanchiuas,sechanchiuas,cechanchihuaz,
omitlan_1,13,0,1,1,0,o,o,o,o,o,
omitlan_1,13,0,1,1,0,para,para,para,para,para,
omitlan_1,13,0,1,0,0,cetiquitiz,setikitis,setiquitis,setikitis,cetiquitiz,
omitlan_1,13,0,1,0,0,ompa,ompa,ompa,ompa,ompa,
omitlan_1,13,0,1,0,0,ye,ye,ye,ye,ye,
omitlan_1,13,0,1,0,0,motlani,motlani,motlani,motlani,motlani,
omitlan_1,13,0,1,0,0,cimi,simi,simi,simi,cimi,
omitlan_1,13,0,1,0,0,tzocopintzi,tsokopintsi,tzocopintzi,tsokopintsi,tzocopintzi,
omitlan_1,13,0,1,0,0,tomen,tomen,tomen,tomen,tomen,
omitlan_1,13,0,1,0,0,",",",",",",",",",",
omitlan_1,13,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,13,0,1,0,0,nochi,nochi,nochi,nochi,nochi,
omitlan_1,13,0,1,0,0,patiyo,patiyo,patiyo,patiyo,patiyo,
omitlan_1,13,0,1,0,0,.,.,.,.,.,
omitlan_1,14,0,1,1,0,Entonces,Entonces,Entonces,Entonces,Entonces,
omitlan_1,14,0,1,1,0,cuando,cuando,cuando,cuando,cuando,
omitlan_1,14,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,14,0,1,0,0,o,o,o,o,o,
omitlan_1,14,0,1,0,0,nipiyaya,nipiyaya,nipiyaya,nipiyaya,nipiyaya,
omitlan_1,14,0,1,1,0,veinte,veinte,veinte,veinte,veinte,
omitlan_1,14,0,1,1,0,años,años,años,años,años,
omitlan_1,14,0,1,0,0,",",",",",",",",",",
omitlan_1,14,0,1,0,0,o,o,o,o,o,
omitlan_1,14,0,1,0,0,niquinmacic,nikinmasik,niquinmasic,nikinmasik,niquinmacic,
omitlan_1,14,0,1,0,0,ciqui,siki,siqui,siki,ciqui,
omitlan_1,14,0,1,1,0,compañeras,compañeras,compañeras,compañeras,compañeras,
omitlan_1,14,0,1,1,0,de,de,de,de,de,
omitlan_1,14,0,1,1,0,trabajo,trabajo,trabajo,trabajo,trabajo,
omitlan_1,14,0,1,0,0,o,o,o,o,o,
omitlan_1,14,0,1,0,0,tiyahque,tiyahke,tiyahque,tiyajke,tiyahque,
omitlan_1,14,0,1,1,0,para,para,para,para,para,
omitlan_1,14,1,1,0,0,Sonora,sonora,Sonora,Sonora,Sonora,
omitlan_1,14,0,1,0,0,",",",",",",",",",",
omitlan_1,14,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,14,0,1,0,0,ompa,ompa,ompa,ompa,ompa,
omitlan_1,14,0,1,0,0,o,o,o,o,o,
omitlan_1,14,0,1,0,0,nechilhuique,nechilwike,nechiluique,nechiluike,nechilhuique,
omitlan_1,14,0,1,1,0,que,que,que,que,que,
omitlan_1,14,0,1,0,0,ompa,ompa,ompa,ompa,ompa,
omitlan_1,14,0,1,0,0,mo,mo,mo,mo,mo,
omitlan_1,14,0,1,0,0,tiyaca,tiyaka,tiyaca,tiyaka,tiyaca,
omitlan_1,14,0,1,1,0,para,para,para,para,para,
omitlan_1,14,1,1,0,0,Estados,estados,Estados,Estados,Estados,
omitlan_1,14,1,1,0,0,Unidos,unidos,Unidos,Unidos,Unidos,
omitlan_1,14,0,1,0,0,.,.,.,.,.,
omitlan_1,15,0,1,1,0,Pero,Pero,Pero,Pero,Pero,
omitlan_1,15,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,15,0,1,0,0,amo,amo,amo,amo,amo,
omitlan_1,15,0,1,0,0,o,o,o,o,o,
omitlan_1,15,0,1,0,0,nimatiya,nimatiya,nimatiya,nimatiya,nimatiya,
omitlan_1,15,0,1,0,0,tleno,tleno,tleno,tleno,tleno,
omitlan_1,15,0,1,0,0,nicchihuaz,nikchiwas,nicchiuas,nikchiuas,nicchihuaz,
omitlan_1,15,0,1,0,0,mox,mox,mox,mox,mox,
omitlan_1,15,0,1,0,0,nimocahuaz,nimokawas,nimocauas,nimokauas,nimocahuaz,
omitlan_1,15,0,1,0,0,o,o,o,o,o,
omitlan_1,15,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,15,0,1,1,0,pero,pero,pero,pero,pero,
omitlan_1,15,0,1,0,0,ce,se,se,se,ce,
omitlan_1,15,0,1,1,0,de,de,de,de,de,
omitlan_1,15,0,1,1,1,nocompañeras,nocompañeras,nocompañeras,nocompañeras,nocompañeras,
omitlan_1,15,0,1,0,0,o,o,o,o,o,
omitlan_1,15,0,1,0,0,nechilhue,nechilwe,nechilue,nechilue,nechilhue,
omitlan_1,15,0,1,1,0,que,que,que,que,que,
omitlan_1,15,0,1,1,0,en,en,en,en,en,
omitlan_1,15,1,1,0,0,Estados,estados,Estados,Estados,Estados,
omitlan_1,15,1,1,0,0,Unidos,unidos,Unidos,Unidos,Unidos,
omitlan_1,15,0,1,0,0,cachi,kachi,cachi,kachi,cachi,
omitlan_1,15,0,1,0,0,motlani,motlani,motlani,motlani,motlani,
omitlan_1,15,0,1,0,0,tomen,tomen,tomen,tomen,tomen,
omitlan_1,15,0,1,0,0,.,.,.,.,.,
omitlan_1,16,0,1,1,0,Pues,Pues,Pues,Pues,Pues,
omitlan_1,16,0,1,1,0,entonces,entonces,entonces,entonces,entonces,
omitlan_1,16,0,1,0,0,o,o,o,o,o,
omitlan_1,16,0,1,0,0,niquihtoh,nikihtoh,niquihtoh,nikijtoj,niquihtoh,
omitlan_1,16,0,1,0,0,“,“,“,“,“,
omitlan_1,16,0,1,1,0,pues,pues,pues,pues,pues,
omitlan_1,16,0,1,0,0,quema,kema,quema,kema,quema,
omitlan_1,16,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,16,0,1,0,0,queye,keye,queye,keye,queye,
omitlan_1,16,0,1,0,0,amo,amo,amo,amo,amo,
omitlan_1,16,0,1,0,0,?,?,?,?,?,
omitlan_1,16,0,1,0,0,”,”,”,”,”,
omitlan_1,17,0,1,0,0,Huan,wan,uan,uan,huan,
omitlan_1,17,0,1,0,0,milahuac,milawak,milauac,milauak,milahuac,
omitlan_1,17,0,1,0,0,o,o,o,o,o,
omitlan_1,17,0,1,0,0,tihualaque,tiwalake,tiualaque,tiualake,tihualaque,
omitlan_1,17,0,1,0,0,.,.,.,.,.,
omitlan_1,18,0,1,0,0,O,o,o,o,o,
omitlan_1,18,0,1,0,0,ticatca,tikatka,ticatca,tikatka,ticatca,
omitlan_1,18,0,1,0,0,quemen,kemen,quemen,kemen,quemen,
omitlan_1,18,0,1,0,0,ome,ome,ome,ome,ome,
omitlan_1,18,0,1,0,0,caxtol,kaxtol,caxtol,kaxtol,caxtol,
omitlan_1,18,0,1,0,0,huan,wan,uan,uan,huan,
omitlan_1,18,0,1,0,0,nochi,nochi,nochi,nochi,nochi,
omitlan_1,18,0,1,0,0,o,o,o,o,o,
omitlan_1,18,0,1,0,0,tipanohque,tipanohke,tipanohque,tipanojke,tipanohque,
omitlan_1,18,0,1,0,0,.,.,.,.,.,
omitlan_1,19,0,1,0,0,Axan,axan,axan,axan,axan,
omitlan_1,19,0,1,0,0,nican,nikan,nican,nikan,nican,
omitlan_1,19,0,1,0,0,nichanchihua,nichanchiwa,nichanchiua,nichanchiua,nichanchihua,
omitlan_1,19,0,1,0,0,.,.,.,.,.,
omitlan_1,20,0,1,0,0,Milahuac,milawak,milauac,milauak,milahuac,
omitlan_1,20,0,1,0,0,",",",",",",",",",",
omitlan_1,20,0,1,0,0,amo,amo,amo,amo,amo,
omitlan_1,20,0,1,0,0,tlen,tlen,tlen,tlen,tlen,
omitlan_1,20,0,1,0,0,nimati,nimati,nimati,nimati,nimati,
omitlan_1,20,0,1,1,0,de,de,de,de,de,
omitlan_1,20,0,1,0,0,non,non,non,non,non,
omitlan_1,20,0,1,1,0,compañeros,compañeros,compañeros,compañeros,compañeros,
omitlan_1,20,0,1,0,0,o,o,o,o,o,
omitlan_1,20,0,1,0,0,ticinhualahque,tisinwalahke,tisinualahque,tisinualajke,ticinhualahque,
omitlan_1,20,0,1,0,0,.,.,.,.,.,
omitlan_1,21,0,1,1,0,Pero,Pero,Pero,Pero,Pero,
omitlan_1,21,0,1,0,0,neh,neh,neh,nej,neh,
omitlan_1,21,0,1,1,0,ya,ya,ya,ya,ya,
omitlan_1,21,0,1,0,0,nicaxitiz,nikaxitis,nicaxitis,nikaxitis,nicaxitiz,
omitlan_1,21,0,1,1,0,casi,casi,casi,casi,casi,
omitlan_1,21,0,1,0,0,ce,se,se,se,ce,
omitlan_1,21,0,1,0,0,caxtol,kaxtol,caxtol,kaxtol,caxtol,
omitlan_1,21,0,1,0,0,xihuitl,xiwitl,xiuitl,xiuitl,xihuitl,
omitlan_1,21,0,1,0,0,nican,nikan,nican,nikan,nican,
omitlan_1,21,0,1,0,0,ich,ich,ich,ich,ich,
omitlan_1,21,1,1,1,0,Estados,Estados,Estados,Estados,Estados,
omitlan_1,21,1,1,1,0,Unidos,unidos,Unidos,Unidos,Unidos,
omitlan_1,21,0,1,0,0,.,.,.,.,.,
omitlan_1,22,0,1,0,0,Huan,wan,uan,uan,huan,
omitlan_1,22,0,1,1,0,cuando,cuando,cuando,cuando,cuando,
omitlan_1,22,0,1,0,0,o,o,o,o,o,
omitlan_1,22,0,1,0,0,nipiyaya,nipiyaya,nipiyaya,nipiyaya,nipiyaya,
omitlan_1,22,0,1,1,0,veintinueve,veintinueve,veintinueve,veintinueve,veintinueve,
omitlan_1,22,0,1,1,0,años,años,años,años,años,
omitlan_1,22,0,1,0,0,o,o,o,o,o,
omitlan_1,22,0,1,0,0,niquihtoh,nikihtoh,niquihtoh,nikijtoj,niquihtoh,
omitlan_1,22,0,1,0,0,",",",",",",",",",",
omitlan_1,22,0,1,0,0,“,“,“,“,“,
omitlan_1,22,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,22,0,1,0,0,niyaz,niyas,niyas,niyas,niyaz,
omitlan_1,22,0,1,0,0,in,in,in,in,in,
omitlan_1,22,0,1,1,0,escuela,escuela,escuela,escuela,escuela,
omitlan_1,22,0,1,0,0,.,.,.,.,.,
omitlan_1,23,0,1,0,0,Neh,neh,neh,nej,neh,
omitlan_1,23,0,1,0,0,niniqui,niniki,niniqui,niniki,niniqui,
